accession,summary,title,gpl,ftplink,,,,,Cancer Type,,GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
GSE14245,"Pancreatic cancer is the fourth leading cause of cancer death. Lack of early detection technology for pancreatic cancer invariably leads to a typical clinical presentation of incurable disease at initial diagnosis. Oral fluid (saliva) meets the demand for non-invasive, accessible, and highly efficient diagnostic medium. The level of salivary analytes, such as mRNA and microflora, vary upon disease onset; thus possess valuable signatures for early detection and screening. In this study, we evaluated the performance and translational utilities of the salivary transcriptomic and microbial biomarkers for non-invasive detection of early pancreatic cancer. Two biomarker discovery technologies were used to profile transcriptome in saliva supernatant and microflora in saliva pellet. The Affymetrix Human Genome U133 Plus 2.0 Array was used to discover altered gene expression in saliva supernatant. The Human Oral Microbe Identification Microarray (HOMIM) was used to investigate microflora shift in saliva pellet. Biomarkers selected from both studies were subjected to an independent clinical validation using a cohort of 30 early pancreatic cancer, 30 chronic pancreatitis and 30 healthy matched-control saliva samples. Two panels of salivary biomarkers, including eleven mRNA biomarkers and two microbial biomarkers were discovered and validated for pancreatic cancer detection. The logistic regression model with the combination of three mRNA biomarkers (ACRV1, DMXL2 and DPM1) yielded a ROC-plot AUC value of 0.974 (95% CI, 0.896 to 0.997; P < 0.0001) with 93.3% sensitivity and 90% specificity in distinguishing pancreatic cancer patients from healthy subjects. The logistic regression model with the combination of two bacterial biomarkers (Neisseria elongata and Streptococcus mitis) yielded a ROC-plot AUC value of 0.895 (95% CI, 0.784 to 0.961; P < 0.0001) with 96.4% sensitivity and 82.1% specificity in distinguishing pancreatic cancer patients from healthy subjects. Importantly, the logistic regression model with the combination of four biomarkers (mRNA biomarkers, ACRV1, DMXL2 and DPM1; bacterial biomarker, S. mitis) could differentiate pancreatic cancer patients from all non-cancer subjects (chronic pancreatitis and healthy control), yielding a ROC-plot AUC value of 0.949 (95% CI, 0.877 to 0.985; P < 0.0001) with 92.9% sensitivity and 85.5% specificity. This study comprehensively compared the salivary transcriptome and microflora between pancreatic cancer and control subjects. We have discovered and validated eleven mRNA biomarkers and two microbial biomarkers for early detection of pancreatic cancer in saliva. The logistic regression model with four salivary biomarkers can detect pancreatic cancer specifically without the complication of chronic pancreatitis. This is the first report demonstrating the value of multiplex salivary biomarkers for the non-invasive detection of a high impact systemic cancer.  Keywords: Salivary biomarker, pancreatic cancer, early detection, salivary transcriptome, salivary microflora",Multiple Salivary Biomarkers for Early Detection of Pancreatic Cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14245/,,,,,Pancreatic Cancer,,GSE14245,978,24,1,1
GSE143985,"Tumor budding is a definite prognostic marker, but does not always show favorable reproducibility. We developed a new molecular signature related to tumor budding levels, a microscopic finding of dedifferentiation, using RNA extracted from the whole tissue section and disclosed its relevance to a high recurrence risk using an inhouse dataset and independent public datasets.",Clinical significance of gene signature generated from the grade of tumor budding in colorectal cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143985/,,,,,Colorectal Cancer,,GSE143985,978,91,3,0.654545455
GSE14407,"In contrast to epithelial derived carcinomas that arise in most human organs, ovarian surface epithelial cells become more rather than less differentiated as the malignancy progresses. To test the hypothesis that ovarian surface epithelial cells retain properties of relatively uncommitted pluripotent cells until undergoing neoplastic transformation, we conducted gene expression profiling analysis (Affymetrix, U133 Plus 2.0) of 12 ovarian surface epithelial cells and 12 laser capture microdissected serous papillary ovarian cances. We find that over 2000 genes are significantly differentially expressed between the surface epithelial and cancer samples. Network analysis implicates key signaling pathways and pathway interactions in ovarian cancer development. Genes previously associated with adult stem cell maintenance are expressed in ovarian surface epithelial cells and significantly down-regulated in ovarian cancer cells. Our results indicate that the surface of the ovary is an adult stem cell niche and that deregulation of genes involved in maintaining the quiescence of ovarian surface epithelial cells is instrumental in the initiation and development of ovarian cancer. ",Ovarian Cancer gene expression profiling identifies the surface of the ovary as a stem cell niche,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14407/,,,,,Ovarian Cancer,,GSE14407,978,24,1,1
GSE146558,"Microcalcification is one of the most common radiological and pathological features of breast ductal carcinoma in situ (DCIS), and to a lesser extent, invasive ductal carcinoma. We evaluated transcriptional profiles associated with ectopic mammary mineralization. We evaluated the transcriptional profiles associated with breast cancer microcalcification for Taiwanese breast cancer and a gene expression signature was derived.",Gene Expression Signature of Microcalcification among Taiwanese Breast Cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146558/,,,,,Breast Cancer,,GSE146558,978,109,6,0.73015873
GSE14764,"Ovarian carcinoma has the highest mortality rate among gynecological malignancies. In this project, we investigated the hypothesis that molecular markers are able to predict outcome of ovarian cancer independently of classical clinical predictors, and that these molecular markers can be validated using independent data sets.   We applied a semi-supervised method for prediction of patient survival. Microarrays from a cohort of 80 ovarian carcinomas (TOC cohort) were used for the development of a predictive model, which was then evaluated in an entirely independent cohort of 118 carcinomas (Duke cohort).  A 300 gene ovarian prognostic index (OPI) was generated and validated in a leave-one-out approach in the TOC cohort (Kaplan-Meier analysis, p=0.0087). In a second validation step the prognostic power of the OPI was confirmed in an independent data set (Duke cohort, p=0.0063). In multivariate analysis, the OPI was independent of the postoperative residual tumour, the main clinico-pathological prognostic parameter with an adjusted hazard ratio of 6.4 (TOC cohort, CI 1.8 – 23.5, p=0.0049) and 1.9 (Duke cohort, CI 1.2 – 3.0, p=0.0068). We constructed a combined score of molecular data (OPI) and clinical parameters (residual tumour), which was able to define patient groups with highly significant differences in survival.  The integrated analysis of gene expression data as well as residual tumour can be used for optimised assessment of prognosis. As traditional treatment options are limited, this analysis may be able to optimise clinical management and to identify those patients that would be candidates for new therapeutic strategies.  Keywords: disease state analysis",A Prognostic Gene Expression Index in Ovarian Cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14764/,,,,,Ovarian Cancer,,GSE14764,978,80,3,0.52
GSE14814,"Purpose: The JBR.10 trial demonstrated benefit from adjuvant cisplatin/vinorelbine (ACT) in early-stage non-small-cell lung cancer (NSCLC). We hypothesized that expression profiling may identify stage-independent subgroups who might benefit from ACT.  Patients and Methods: Gene expression profiling was conducted on mRNA from 133 frozen JBR.10 tumor samples (62 observation [OBS], 71 ACT). The minimum gene set that was selected for the greatest separation of good and poor prognosis patient subgroups in OBS patients was identified. The prognostic value of this gene signature was tested in four independent published microarray data sets and by quantitative reverse-transcriptase polymerase chain reaction (RT-qPCR).  Results: A 15-gene signature separated OBS patients into high-risk and low-risk subgroups with significantly different survival (hazard ratio [HR], 15.02; 95% CI, 5.12 to 44.04; P .001; stage I HR, 13.31; P .001; stage II HR, 13.47; P .001). The prognostic effect was verified in the same 62 OBS patients where gene expression was assessed by qPCR. Furthermore, it was validated consistently in four separate microarray data sets (total 356 stage IB to II patients without adjuvant treatment) and additional JBR.10 OBS patients by qPCR (n 19). The signature was also predictive of improved survival after ACT in JBR.10 high-risk patients (HR, 0.33; 95% CI, 0.17 to 0.63; P .0005), but not in low-risk patients (HR, 3.67; 95% CI, 1.22 to 11.06; P = .0133; interaction P .001). Significant interaction between risk groups and ACT was verified by qPCR.  Conclusion: This 15-gene expression signature is an independent prognostic marker in early-stage, completely resected NSCLC, and to our knowledge, is the first signature that has demonstrated the potential to select patients with stage IB to II NSCLC most likely to benefit from adjuvant chemotherapy with cisplatin/vinorelbine.",Prognostic and Predictive Gene Signature for Adjuvant Chemotherapy in Resected Non-Small-Cell Lung Cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14814/,,,,,Lung Cancer ,,GSE14814,978,133,3,0.253012048
GSE14986,"Emergence of antiestrogen-resistant cells in MCF-7 cells during suppression of estrogen signaling is a widely accepted model of acquired breast cancer resistance to endocrine therapy. To obtain insight into the genomic basis of endocrine therapy resistance, we characterized MCF-7 monoclonal sublines that survived 21-day exposure to tamoxifen (T-series sublines) or fulvestrant (F-series sublines) and sublines unselected by drugs (U-series). All T/F-sublines were resistant to the cytocidal effects of both tamoxifen and fulvestrant. However, their responses to the cytostatic effects of fulvestrant varied greatly, and their remarkably diversified morphology showed no correlation with drug resistance. mRNA expression profiles of the U-sublines differed significantly from those of the T/F-sublines, whose transcriptomal responsiveness to fulvestrant was largely lost. A set of genes strongly expressed in the U-sublines successfully predicted metastasis-free survival of breast cancer patients. Most T/F-sublines shared highly homogeneous genomic DNA aberration patterns that were distinct from those of the U-sublines. Genomic DNA of the U-sublines harbored many aberrations that were not found in the T/F-sublines. These results suggest that the T/F-sublines are derived from a common monoclonal progenitor that lost transcriptomal responsiveness to antiestrogens as a consequence of genetic abnormalities many population doublings ago, not from the antiestrogen-sensitive cells in the same culture during the exposure to antiestrogens. Thus, the apparent acquisition of antiestrogen resistance by MCF-7 cells reflects selection of preexisting drug-resistant subpopulations without involving changes in individual cells. Our results suggest the importance of clonal selection in endocrine therapy resistance of breast cancer.",Antiestrogen-resistant subclones of MCF-7 human breast cancer cells are derived from a common clonal drug-resistant progenitor,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14986/,,,,,Breast Cancer,,GSE14986,978,30,2,0.375
GSE14990,This SuperSeries is composed of the SubSeries listed below.,"MYC regulation of a ""poor prognosis"" metastatic cancer cell state",570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14990/,,,,,Metastatic Cancer,,GSE14990,978,15,1,0.666666667
GSE15026,"Cultured cancer cells exhibit substantial phenotypic heterogeneity when measured in a variety of ways such as sensitivity to drugs or the capacity to grow under various conditions.  Among these, the ability to exhibit anchorage-independent cell growth (colony forming capacity in semisolid media), has been considered to be fundamental in cancer biology, because it has been connected with tumor cell aggressiveness in vivo such as tumorigenic and metastatic potentials, and also utilized as a marker for in vitro transformation.  Although multiple genetic factors for anchorage-independence have been identified, the molecular basis for this capacity is still largely unknown.  To investigate the molecular mechanisms underlying anchorage independent cell growth, we have used genome-wide DNA microarray studies to develop an expression signature associated with this phenotype.  Using this signature, we identify a program of activated mitochondrial biogenesis associated with the phenotype of anchorage-independent growth and importantly, we demonstrate that this phenotype predicts potential for metastasis in primary breast and lung tumors.  Keywords: Breast cancer cell lines with various colony-forming ability",Expression data from breast cancer cell lines with various colony-forming ability,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15026/,,,,,Breast Cancer,,GSE15026,978,30,1,0.578947368
GSE153796,"Breast cancer develops through the accumulation of genomic changes in the ductal epithelia cells of normal breast tissue. A determination of whether gene expression changes in ductal cells is associated with an increased risk for breast cancer is needed. We sought to determine if the global gene expression profiles of ductal cells of women at high risk for breast cancer or with cytologic ductal epithelial atypia differed from those of women at normal risk or without cytologic atypia. We used microarrays to detail the gene expression profile of breast ductal cells associated with normal risk or high risk for sporadic breast cancer and with or without cytologic epithelial atypia. We did not identify any separation of the sample groups (normal risk vs high-risk, or atypia vs nonatypia) according to expression of subgroups of genes.",Gene expression data from breast ductal cells from women at normal risk or high risk for breast cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153796/,,,,,Breast Cancer,,GSE153796,978,29,1,0.125
GSE15548,"The scaffold attachment factors SAFB1 and SAFB2 are paralogs, which are involved in cell cycle regulation, apoptosis, differentiation, and stress response. They have been shown to function as estrogen receptor co-repressors, and there is evidence for a role in breast tumorigenesis. To identify their endogenous target genes in MCF-7 breast cancer cells, we utilized gene expression array analysis, which was set up in a two-by-four design, with vehicle and estrogen treatment, and control, SAFB1, SAFB2, and SAFB1/SAFB2 siRNA as variables. Using custom chips containing 1.5 kb upstream regulatory region, we identified 541 SAFB1/SAFB2 binding sites in promoters of known genes, with significant enrichment on chromosome 1 and 6. Gene expression analysis revealed that the majority of target genes were induced in the absence of SAFB1 or SAFB2, and less were repressed. In contrast to SAFB2, which shared most of its target genes with SAFB1, SAFB1 had many unique target genes, most of them involved in regulation of the immune system. A subsequent analysis of the estrogen treatment group revealed that twelve percent of estrogen-regulated genes were dependent on SAFB1, with the majority being estrogen-repressed genes. These were primarily genes involved in apoptosis, such as BBC3, NEDD9, and OPG. Thus, this study confirms SAFB1/SAFB2’s primary role as co-repressors, and also uncovers a previously unknown role for SAFB1 in regulation of immune genes, and in estrogen-mediated repression of genes.",SAFB1 mediates repression of immune regulators and apoptotic genes in breast cancer cells,571,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15548/,,,,,Breast Cancer,,GSE15548,978,29,2,0.75
GSE15578,"The human kinome is incolved in multiple function in the life cycle of cells, and ther differntial expression in cacner suggests that protein kinases play an important role in tumor progression and proliferation. To delineate pathways that may be important for neoplastic change in women at high risk for ovarian cancer, we compared the expression signature of surface kinases in normal ovarian surface epithelium with ovarian epithelium from patients at high risk, and epithelial ovarian cancer using Affymetrix expresion array HG U133Plus2.",Expression Data from Ovarian Surface Kinome,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15578/,,,,,Ovarian Cancer,,GSE15578,978,17,1,0.571428571
GSE15641,"In order to address the progression, metastasis, and clinical heterogeneity of renal cell cancer (RCC), transcriptional profiling with oligonucleotide microarrays (22,283 genes) was done on 49 RCC tumors, 20 non-RCC renal tumors, and 23 normal kidney samples. Samples were clustered based on gene expression profiles and specific gene sets for each renal tumor type were identified. Gene expression was correlated to disease progression and a metastasis gene signature was derived. Gene signatures were identified for each tumor type with 100% accuracy. Differentially expressed genes during early tumor formation and tumor progression to metastatic RCC were found. Subsets of these genes code for secreted proteins and membrane receptors and are both potential therapeutic or diagnostic targets. A gene pattern (""metastatic signature"") derived from primary tumors was very accurate in classifying tumors with and without metastases at the time of surgery. A previously described ""global"" metastatic signature derived by another group from various non-RCC tumors was validated in RCC. Unlike previous studies, we describe highly accurate and externally validated gene signatures for RCC subtypes and other renal tumors. Interestingly, the gene expression of primary tumors provides us information about the metastatic status in the respective patients and has the potential, if prospectively validated, to enrich the armamentarium of diagnostic tests in RCC. We validated in RCC, for the first time, a previously described metastatic signature and further showed the feasibility of applying a gene signature across different microarray platforms. Transcriptional profiling allows a better appreciation of the molecular and clinical heterogeneity in RCC.",Gene signatures of progression and metastasis in renal cell cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15641/,,,,,Renal Cell Cancer,,GSE15641,978,92,1,0.1875
GSE157009,"Purpose: The primary objective of the current study was to validate biomarkers to identify the 10% to 27% of patients with stage I and 35% of patients with stage IIA squamous cell carcinoma of lung (SC) who are likely to recur following surgical resection, so that these patients may be offered enrollment in clinical trials evaluating directed ACT. A secondary objective was to identify patients with stage IIB SC who are unlikely to develop recurrences and might thereby be spared the potential significant toxicity and expense of ACT. Methods: Two-stage validation used independent core laboratories, objective quality control standards, locked test parameters, and large multi-institutional specimen/data sets. First stage validation confirmed a signature’s ability to stratify patient survival. Second stage validation determined which signature(s) optimally improved risk discrimination when added to baseline clinical predictors. Participants were prospectively enrolled on institutional (Cohort I) or cooperative group (Cohort II) biospecimen/data collection protocols. All cases underwent central review of clinical, pathologic and biospecimen parameters using objective criteria to determine final inclusion (Cohort I: n=249; Cohort II: n=234). Primary selection required that a signature significantly predict 3-years survival after surgery in Cohort I. Signatures meeting this criterion were further tested in Cohort II, comparing risk prediction using baseline risk factors alone versus in combination with the signature. Results: Male sex, advanced age, and higher stage were associated with shorter survival in Cohort I and established a baseline clinical model. Of three signatures validated in Cohort I, one signature was validated in Cohort II and statistically significantly enhanced prognosis relative to the baseline model (C-index difference 0.122; p<0.05). Conclusions: These results represent the first rigorous validation of a test appropriate to direct adjuvant treatment or clinical trials for patients with lung squamous cell carcinoma.",Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance) [cohort I],570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157009/,,,,,Lung Cancer ,,GSE157009,978,249,2,0.230769231
GSE157010,"Purpose: The primary objective of the current study was to validate biomarkers to identify the 10% to 27% of patients with stage I and 35% of patients with stage IIA squamous cell carcinoma of lung (SC) who are likely to recur following surgical resection, so that these patients may be offered enrollment in clinical trials evaluating directed ACT. A secondary objective was to identify patients with stage IIB SC who are unlikely to develop recurrences and might thereby be spared the potential significant toxicity and expense of ACT. Methods: Two-stage validation used independent core laboratories, objective quality control standards, locked test parameters, and large multi-institutional specimen/data sets. First stage validation confirmed a signature’s ability to stratify patient survival. Second stage validation determined which signature(s) optimally improved risk discrimination when added to baseline clinical predictors. Participants were prospectively enrolled on institutional (Cohort I) or cooperative group (Cohort II) biospecimen/data collection protocols. All cases underwent central review of clinical, pathologic and biospecimen parameters using objective criteria to determine final inclusion (Cohort I: n=249; Cohort II: n=234). Primary selection required that a signature significantly predict 3-years survival after surgery in Cohort I. Signatures meeting this criterion were further tested in Cohort II, comparing risk prediction using baseline risk factors alone versus in combination with the signature. Results: Male sex, advanced age, and higher stage were associated with shorter survival in Cohort I and established a baseline clinical model. Of three signatures validated in Cohort I, one signature was validated in Cohort II and statistically significantly enhanced prognosis relative to the baseline model (C-index difference 0.122; p<0.05). Conclusions: These results represent the first rigorous validation of a test appropriate to direct adjuvant treatment or clinical trials for patients with lung squamous cell carcinoma.",Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance) [Cohort II],570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157010/,,,,,Lung Cancer ,,GSE157010,978,235,1,0.974789916
GSE157011,This SuperSeries is composed of the SubSeries listed below.,Multi-institutional prospective validation of prognostic mRNA signatures in early stage squamous lung cancer (Alliance),570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157011/,,,,,Lung Cancer ,,GSE157011,978,484,1,0.833333333
GSE158309,"Interferons are crucial for adaptive immunity and play an important role in the immune landscape of breast cancer. Using microarray-based gene expression analysis, we examined the subtype specific prognostic significance of interferon-γ (IFN-γ) as a single gene as well as an IFN-γ signature covering the signaling pathway in 461 breast cancer patients. Prognostic significance of IFN-γ as well as the IFN-γ signature for metastasis-free survival (MFS) were examined using Kaplan Meier as well as univariate and multivariate Cox regression analyses in the whole cohort and in different molecular subtypes. Kaplan Meier curves and univariate Cox regression analyses showed that the prognostic significance of IFN-γ as a single gene was limited to basal-like breast cancer (P=0.033). In contrast, the IFN-γ associated gene signature was a significant prognostic factor in the whole cohort (HR 1.554; 95%CI 1.1099-2.199; P=0.013) as well as in the luminal B (P=0.007) and HER2-positive (P=0.033) molecular subtype with borderline significance in basal-like breast cancer(P=0.050). In multivariate analysis, the IFN-γ signature retained its independent prognostic significance (HR 2.287; 95% CI: 1.410-3.633;P<0.001) in the entire cohort. These results underline the subtype-dependent prognostic influence of the immune system in early breast cancer.",Prognostic significance of interferon-γ and its signaling pathway in early breast cancer depends on the molecular subtypes,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158309/,,,,,Breast Cancer,,GSE158309,978,461,3,0.401215805
GSE15852,"Microarray is widely used to monitor gene expression changes in breast cancer. The transcriptomic changes in breast cancer is commonly occured during the transition of normal cells to cancerous cells. This is the first study on gene expression profiling of multi ethnic of Malaysian breast cancer patients (Malays, Chinese and Indian). We aim to identify differentially expressed genes between tumors and normal tissues. We have identified a set of 33 significant differentially expressed genes in the tumor vs. normal group at p<0.001. We study the gene expression patterns of 43 breast tumors and their paired normal control by using Affymetrix genechip U133A.  We have identified a set of 33 significant differentially expressed genes in the tumor vs. normal group at p<0.001.",Expression data from human breast tumors and their paired normal tissues,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15852/,,,,,Breast Cancer,,GSE15852,978,86,2,1
GSE15932,"The prognosis of pancreatic cancer is still very poor, how to detect pancreatic cancer from high-risk group in an early stage is essential for improving its long-time survival. Therefore, the purpose of this study was to explore specific biomarkers that can differentiate pancreatic cancer-associated diabetes from type-2 diabetes for the early detection of pancreatic cancer. In the current study, we used global gene transcription analysis with affymetrix gene chip to identify genes specifically expressed in pancreatic cancer-associated diabetes mellitus from peripheral blood samples in stead of from tissue samples.",Blood biomarkers of pancreatic cancer associated diabetes identified by peripheral blood-based gene expression profiles,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15932/,,,,,Pancreatic Cancer,,GSE15932,978,32,1,0.125
GSE15960,The whole-genome oligonucleotide microarray analysis of  laser microdissected human colonic epithelial cells can contribute to determination of disease-specific expression alterations in colonic epithelial cells and to localize the origin the expression changes measured in whole biopsy samples.  Keywords: whole genomic expression,"Expression data from human colonic epithelial cells normal (N), adenoma (AD) or colorectal cancer (CRC) tissues",570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15960/,,,,,Colorectal Cancer,,GSE15960,978,18,1,1
GSE161158,"Loss of SMAD4 is associated with worse outcomes for colorectal cancer patients. We used gene ontology and data driven approach to identify a SMAD4-modulated profile and test its association with patient outcome. Using a discovery dataset of 250 colorectal cancer patients, we analyzed expression of BMP/Wnt target genes for association with SMAD4 expression. Promoters of the BMP/Wnt genes were interrogated for SMAD-binding elements. 15 genes were implicated and three tested for modulation by SMAD4 in patient-derived colorectal cancer tumoroids. Expression of the 15 genes was used for unsupervised hierarchical clustering of a training dataset and two resulting clusters modeled in a centroid model.",A SMAD4-modulated gene profile predicts disease-free survival in stage II and III colorectal cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161158/,,,,,Colorectal Cancer,,GSE161158,978,250,1,0.402439024
GSE16157,"Cancer cells consume large amounts of glucose because of their specific metabolic pathway. However, cancer cells exist in tumor tissue where glucose is insufficient. To survive, cancer cells likely have the mechanism to elude their glucose addiction. Here we show that functional mitochondria are essential if cancer cells are to avoid glucose addiction. Cancer cells with dysfunctional mitochondria, such as mitochondrial DNA-deficient rho0 cells and electron transport chain blocker-treated cells, were highly sensitive to glucose deprivation. Our data demonstrated that this sensitization was caused by failure of the unfolded protein response (UPR), an adaptive response mediated by the endoplasmic reticulum (ER). This study suggests a link between mitochondria and the ER during the UPR under glucose deprivation conditions and that mitochondria govern cell fate, not only through ATP production and apoptosis regulation but also through modulating the UPR for cell survival.",Mitochondria regulate the unfolded protein response leading to cancer cell survival under glucose deprivation conditions,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16157/,,,,,[],,GSE16157,978,38,1,0.833333333
GSE16391,"Background: We have previously shown that the Gene expression Grade Index (GGI) was able to identify two subtypes of estrogen receptor (ER)-positive tumors that were associated with statistically distinct clinical outcomes in both untreated and tamoxifen-treated patients. Here, we aim to investigate the ability of the GGI to predict relapses in postmenopausal women who were treated with tamoxifen (T) or letrozole (L) within the BIG 1-98 trial.  Methods: We generated gene expression profiles (Affymetrix) and computed the GGI for a matched, case-control sample of patients enrolled in the BIG 1-98 trial from the two hospitals where frozen samples were available. All relapses (cases) were identified from patients randomized to receive monotherapy or from the switching treatment arms for whom relapse occurred before the switch.  Each case was randomly matched with four controls based upon nodal status and treatment (T or L).  The prognostic value of GGI was assessed as a continuous predictor and divided at the median.  Predictive accuracy of GGI was estimated using time-dependent area under the curve (AUC) of the ROC curves.  Results:  Frozen samples were analyzable for 48 patients (10 cases and 38 controls).  Seven of the 10 cases had been assigned to receive L. Cases and controls were comparable with respect to menopausal and nodal status, local and chemotherapy, and HER2 positivity. Cases were slightly older than controls and had a larger proportion of large, poorly differentiated ER+/PgR- tumors.  The GGI was significantly and linearly related to risk of relapse: each 10-unit increase in GGI resulted in an increase of approximately 11% in the hazard rate (p=0.02).  Within the subgroups of patients with node-positive disease or who were treated with L, the hazard of relapse was significantly greater for patients with GGI at or above the median. AUC reached a maximum of 78% at 27 months. Conclusions: This analysis supports the GGI as a good predictor of relapse for ER-positive patients, even among patients who receive L.  Validation of these results, in a larger series from BIG 1-98, is planned using the simplified GGI represented by a smaller set of genes and tested by qRT-PCR on paraffin-embedded tissues. ",GGI: a potential predictor of relapse for endocrine-treated breast cancer patients in the BIG 1-98 trial,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16391/,,,,,Breast Cancer,,GSE16391,978,55,3,0.571428571
GSE163950,Hepatocellular carcinoma (HCC) cells show increased resistance to various stress conditions such as oxidative stress. Conventional therapies have low efficacies due to resistance and off-target effects in HCC. Here we aimed to�analyze�oxidative stress-related gene expression profiles of two HCC cell lines.,Transcriptome profiles associated with selenium deficiency dependent oxidative stress identify potential diagnostic and therapeutic targets in liver cancer cells,570,,,,,,Liver Cancer,,GSE163950,606,24,2,1
GSE164191,The immune system is crucial in regulating colorectal cancer tumorigenesis. Identification of immune-related transcriptomic signatures derived from the peripheral blood of colorectal cancer patients will provide insights into colorectal cancer pathogenesis and suggest novel clues to potential colorectal cancer immunotherapy strategies. We used microarrays to detail the blood-based gene expression of colorectal cancer patients and healthy controls to identify the colorectal cancer-specific immune genes potentially diagnostic for colorectal cancer.,Blood based expression of colorectal cancer and healthy controls,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164191/,,,,,Colorectal Cancer,,GSE164191,978,121,1,0.951612903
GSE16648,This SuperSeries is composed of the SubSeries listed below.,Networking of differentially expressed genes in human cancer cell lines resistant to methotrexate,570,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16648/,,,,,[],,GSE16648,978,42,1,1
GSE16795,"Microarrays were used to detail the global programme of gene expression underlying breast cancer cell lines. We identified two main groups of luminal-type and basal-type breast cancer cell lines by unsupervised Pearson correlation of breast cancer cell lines and intrinsic subtyping. Supervised analysis on spindle versus non-spindle breast cancer cell lines identified a spindle cell signature of 1,144 genes identifying all spindle, basal-type, E-cadherin methylated breast cancer cell lines.",Affymetrix HG-U133A gene expression profiles of 39 human breast cancer cell lines,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16795/,,,,,Breast Cancer,,GSE16795,978,39,1,0.619047619
GSE16873,"Proliferative breast lesions, such as simple ductal hyperplasia (SH) and atypical ductal hyperplasia (ADH), are candidate precursors to ductal carcinoma in situ (DCIS) and invasive cancer. To better understand their relationship to more advanced disease, we used microdissection and DNA microarrays to profile the gene expression of patient-matched histologically normal (HN), ADH, and DCIS from 12 patients with ER+ sporadic breast cancer. SH were profiled from a subset of cases. We found 837 differentially expressed genes between DCIS-HN and 447 between ADH-HN, with >90% of the ADH-HN genes also present among the DCIS-HN genes. Only 61 genes were identified between ADH-DCIS. Expression differences were reproduced in an independent cohort of patient-matched lesions by qRT-PCR. Many breast cancer-related genes and pathways were dysregulated in ADH and maintained in DCIS. Particularly, cell adhesion and extracellular matrix (ECM) interactions were overrepresented. Focal adhesion was the top pathway in each gene set. We conclude that ADH and DCIS share highly similar gene expression and are distinct from HN. In contrast, SH appear more similar to HN. These data provide genetic evidence that ADH (but not SH) are often precursors to cancer and suggest cancer-related genetic changes, particularly adhesion and ECM pathways, are dysregulated prior to invasion and even before malignancy is apparent. These findings could lead to novel risk stratification, prevention, and treatment approaches. Patient-matched (HN, SH, ADH, DCIS) samples were isolated from within patients with ER+ sporadic breast cancers via laser capture microdissection.  Use of patient-matched samples decreases between patient variations.",Early Dysregulation of Cell Adhesion and Extracellular Matrix Pathways in Breast Cancer Progression,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16873/,,,,,Breast Cancer,,GSE16873,978,40,1,1
